,AP 1,AP 2,AP 3,AP 4
453,184.2189594093706,184.28684527450775,184.34778640780223,184.43425971851048
454,180.0129940654695,180.15133143100843,180.0431552363807,180.09956053795577
455,190.04981957943087,190.18923989168843,190.24255275115888,190.23054029752893
456,181.67951595748997,181.86320387465594,182.02668098980848,181.97819510105546
457,185.57131752573412,185.7953055740984,185.7445236516296,185.97836091711042
458,185.69311161738315,185.89703810556148,185.73335870518736,185.98412441026403
459,185.20222426318858,185.34526521244902,185.08650699065015,185.3413844822071
460,181.47753444907968,181.44089308771993,181.66617724070466,181.75294443153098
461,181.1932024750994,181.29065596871942,181.32273280337313,181.2260713670653
462,183.34942911221057,183.4301054873497,183.50259966214048,183.52399631806384
463,179.83873333861234,180.15165913284704,180.08670386719814,180.05543148261359
464,189.30914796239145,189.54168567636532,189.48925718374448,189.48583450565002
465,181.48675972115745,181.3941552106768,181.63596029739801,181.45017927185336
466,180.98569342894947,181.1352901430538,181.14367181167086,181.36352805405022
467,183.0027629927952,182.93231858054378,183.0469733704465,183.02508542761052
468,191.82989514254788,192.01217441396193,192.0343731151063,192.18419581033368
469,187.73346675011976,187.61401069898568,187.79018506788225,187.9266240335519
470,181.0289386056858,181.10904253162414,180.99387972952945,181.16045272560905
471,182.69587944989516,182.7152336285926,182.8582992074421,182.88657752241124
472,190.04085714739657,190.00453138042815,190.00273010859405,190.28528376143186
473,185.1631188348575,185.2210027616842,185.21255925019727,185.34672682100563
474,186.22452576626665,186.28339665573935,186.28548689957233,186.46638789943836
475,181.72296468082018,181.66129323073017,181.6690076360578,181.84174082616755
476,180.7344248506827,180.6009275387015,180.89079233512916,180.95110731861223
477,182.7874313099328,182.8126096841163,182.85513298245655,183.0214685276751
478,184.89833545423193,184.8820865869775,184.8728519804779,184.9023439929856
479,186.211861026678,186.25245886206574,186.30896031543375,186.26214779716292
480,185.14847627461924,185.23449574487756,185.25020421542695,185.38605803339215
481,188.41896023797173,188.4068761898784,188.47341742065237,188.58963693698843
